0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,820,840,860,880,900,920,980,1040,1100,1160,1220,1280,1340,1400,1460,1520,1580,1640,1700,1760,1820,1880,1940,2000,2060,2120,2180,2240,2300,2360,2420,2480,2540,2600,2660,2720,2780,2840,2900,2960,3020,3080,3140,3200,3260,3320,3380,3440,3500,3560,3620
0.000000,0.000005,0.000010,0.000010,0.000010,0.000015,0.000015,0.000015,0.000015,0.000020,0.000025,0.000025,0.000025,0.000030,0.000035,0.000040,0.000045,0.000080,0.000095,0.000100,0.000100,0.000100,0.000100,0.000100,0.000105,0.000110,0.000115,0.000115,0.000115,0.000115,0.000115,0.000115,0.000120,0.000120,0.000125,0.000125,0.000130,0.000130,0.000135,0.000140,0.000145,0.000150,0.000190,0.000195,0.000195,0.000195,0.000200,0.000200,0.000205,0.000205,0.000205,0.000205,0.000205,0.000210,0.000210,0.000210,0.000215,0.000220,0.000225,0.000230,0.000240,0.000250,0.000260,0.000270,0.000270,0.000270,0.000270,0.000270,0.000275,0.000280,0.000280,0.000285,0.000285,0.000290,0.000290,0.000295,0.000295,0.000295,0.000295,0.000295,0.000295,0.000300,0.000310,0.000315,0.000320,0.000320,0.000325,0.000330,0.000335,0.000335,0.000340,0.000340,0.000340,0.000340,0.000370,0.000390,0.000400,0.000400,0.000480,0.000490,0.000500,0.000540,0.000560,0.000580,0.000590,0.000595,0.000600,0.000605,0.000615,0.000615,0.000620,0.000630,0.000640,0.000680,0.000700,0.000720,0.000750,0.000780,0.000810,0.000890,0.000915,0.000920,0.000940,0.000950,0.000955,0.000960,0.000985,0.000990,0.000995,0.001000,0.001000,0.001005
74.6,74.4,74.4,74.8,75,75,74.8,74.6,74.4,74.3,74.3,74.3,74.4,74.8,75,75,75,74.6,74.6,74.4,74.3,74.3,74.3,74.4,74.8,75,75.2,75.2,75.3,75.3,75.3,75.3,75.2,75.2,75.2,75,74.8,74.6,74.4,74.3,74.1,74.3,74.4,74.6,74.8,75,75,75,73.5,72.5,71.7,71.2,71,70.7,70.3,70.1,69.9,69.8,69.8,69.9,69.9,70.1,69.9,69.8,69.6,69.4,69,68.9,68.9,68.7,68.5,68.7,68.7,68.9,69,69.2,69.4,69.6,69.9,70.1,70.3,70.8,71.2,71.7,72.1,72.5,72.8,73.2,73.5,73.7,74.1,74.3,74.6,74.8,75.2,73.4,70.5,73.9,75.7,76.6,76.8,75.9,76.2,75.5,75.3,75.3,74.4,75,76.2,77.1,77.9,78.4,78.9,79.3,79.7,80,80.2,77.5,74.3,74.4,73.7,74.1,74.1,73.9,74.3,73.7,74.4,73.5,73.9,73.9,73.4,74.3
47,50.4,56.4,59.1,59.1,54.6,49.5,47.1,46,45.4,48.8,55,58.6,60.6,61.8,58,51.4,47.9,48.5,49.6,48.8,50.3,55.8,59.6,61.4,62.5,61.7,59,58.1,57.8,57,55.9,55.2,55.6,54.6,52,49.9,48,48.1,47.6,48.9,54.6,59.7,62.1,63.6,61.8,57.1,53.8,55.4,56.5,57.2,58.4,57.9,57.3,57,56.7,56.9,57.9,63.7,68.6,70.6,71.5,67.7,61.9,59.6,59,59,59,58.3,59.7,65.1,68.5,70.5,71.9,71,70.5,69.9,69.4,68.8,68.3,68.1,67.8,67.3,67.1,66.7,66.4,66.1,65.2,64.7,64.5,64.4,64.4,64.3,69.9,68.1,54.8,56.9,60.7,44.7,48.6,55.6,44.7,49.3,56.4,44.6,56.9,54.5,51.9,51.8,51.3,51.1,50.9,50.7,50.5,50.4,50.2,49.9,44,45.5,52.4,52.4,47.6,60.1,46.1,61.4,46.3,60.1,53.1,49.1,61.8,48.2,58.2
